peer_id,person_id,conditions,symptoms,treatments,demographics,lifestyle
6,11,0.558514,0.662553,0.203640,0.483333,0.500000
6,12,0.696137,0.415807,0.217307,0.960317,0.166667
6,13,0.791373,0.614849,0.180683,0.500000,1.000000
6,14,0.572345,0.511472,0.234485,0.939394,0.833333
6,15,0.696924,,0.147076,0.439394,0.166667
6,16,0.791373,,0.128734,0.926471,0.833333
6,17,0.791373,,0.228840,0.465517,0.500000
6,18,0.691329,,0.151691,0.482759,0.833333
6,19,0.691329,,0.121714,0.902778,0.666667
6,20,0.712968,0.573315,0.321706,0.397260,1.000000
6,21,0.691329,,0.157473,0.439394,0.666667
6,22,0.708023,0.727736,0.261114,0.391892,0.833333
6,23,0.594605,0.708066,0.158395,0.939655,0.833333
6,24,0.791373,0.680071,0.129016,0.491525,1.000000
6,25,0.608656,,0.158944,0.939394,0.333333
7,8,0.507384,0.543293,0.716786,0.401408,1.000000
7,9,0.542571,0.610168,0.859880,0.859155,0.666667
7,10,0.616410,0.491640,0.650070,0.429577,0.333333
7,11,0.493675,0.633963,0.656344,0.922535,0.500000
7,12,0.664023,0.387305,0.645071,0.443662,0.166667
7,13,1.000000,0.615611,0.549064,0.908451,1.000000
7,14,0.493203,0.436657,0.559471,0.464789,0.833333
7,15,0.699680,,0.813613,0.964789,0.166667
7,16,1.000000,,0.852847,0.478873,0.833333
7,17,1.000000,,0.696003,0.880282,0.500000
7,18,0.598082,,0.830365,0.894366,0.833333
7,19,0.598082,,0.808948,0.493056,0.666667
7,20,0.649870,0.559794,0.617378,0.986301,1.000000
7,21,0.598082,,0.636551,0.964789,0.666667
7,22,0.713874,0.569602,0.536798,0.979730,0.833333
7,23,0.513646,0.597692,0.692476,0.359155,0.833333
7,24,1.000000,0.609071,0.847161,0.915493,1.000000
7,25,0.657432,,0.737598,0.464789,0.333333
8,9,0.547010,0.575075,0.685974,0.447368,0.666667
8,10,0.606376,0.578407,0.535148,0.967213,0.333333
8,11,0.554384,0.564469,0.597669,0.475000,0.500000
8,12,0.533156,0.405706,0.549471,0.952381,0.166667
8,13,0.507384,0.569726,0.410578,0.491379,1.000000
8,14,0.548706,0.529986,0.478947,0.931818,0.833333
8,15,0.555262,,0.715631,0.431818,0.166667
8,16,0.507384,,0.696204,0.919118,0.833333
8,17,0.507384,,0.550516,0.473684,0.500000
8,18,0.656238,,0.687432,0.491228,0.833333
8,19,0.656238,,0.704425,0.895833,0.666667
8,20,0.610445,0.476422,0.448577,0.390411,1.000000
8,21,0.656238,,0.590075,0.431818,0.666667
8,22,0.536679,0.608043,0.454542,0.385135,0.833333
8,23,0.585575,0.585507,0.587424,0.947368,0.833333
8,24,0.507384,0.604976,0.696831,0.483051,1.000000
8,25,0.472226,,0.656611,0.931818,0.333333
9,10,0.711705,0.581846,0.677666,0.418033,0.333333
9,11,0.577986,0.683102,0.679470,0.925000,0.166667
9,12,0.568788,0.508815,0.678338,0.404762,0.500000
9,13,0.542571,0.638371,0.573339,0.939655,0.666667
9,14,0.545593,0.478231,0.578852,0.386364,0.833333
9,15,0.694516,,0.847186,0.886364,0.500000
9,16,0.542571,,0.896702,0.375000,0.833333
9,17,0.542571,,0.736465,0.972222,0.166667
9,18,0.813614,,0.875109,0.955357,0.833333
9,19,0.813614,,0.835508,0.354167,1.000000
9,20,0.762687,0.593977,0.684022,0.849315,0.666667
9,21,0.813614,,0.652369,0.886364,1.000000
9,22,0.585008,0.614920,0.564672,0.844595,0.833333
9,23,0.584707,0.630234,0.716969,0.500000,0.833333
9,24,0.542571,0.662051,0.860159,0.932203,0.666667
